Сутулова Ольга,42,387,https://ruskino.ru/art/287
Андреева Паулина,379,none,https://ruskino.ru/art/16243
Мельникова Дарья,30,195,https://ruskino.ru/art/5666
Талызина Анастасия,22,194,https://ruskino.ru/art/47479
Шкирандо Валерия,33,194,https://ruskino.ru/art/12742
Янковская Елизавета,28,194,https://ruskino.ru/art/47621
Агишева Дана,41,193,https://ruskino.ru/art/2350
Зуева Ольга,34,193,https://ruskino.ru/art/39732
Олькина Екатерина,36,193,https://ruskino.ru/art/8067
Сергеева Алина,39,193,https://ruskino.ru/art/5494
Курдюбова Наталия,46,190,https://ruskino.ru/art/2509
Шумакова Екатерина,31,190,https://ruskino.ru/art/44218
Ревенко Александра,188,none,https://ruskino.ru/art/13006
Романенко Виктория,33,187,https://ruskino.ru/art/6868
Жарычева Надежда,33,186,https://ruskino.ru/art/20220
Попова Анастасия,186,none,https://ruskino.ru/art/19566
Спивак Марьяна,37,186,https://ruskino.ru/art/5846
Фомина Мария,29,186,https://ruskino.ru/art/5750
Доможирова Марина,32,185,https://ruskino.ru/art/18805
Чистякова Анастасия,27,184,https://ruskino.ru/art/37727
Щербакова Ксения,32,184,https://ruskino.ru/art/15932
Александрова Юлия,40,183,https://ruskino.ru/art/7100
Апексимова Ирина,56,377,https://ruskino.ru/art/271
Вилкова Таисия,25,375,https://ruskino.ru/art/6567
Маслова Виктория,36,367,https://ruskino.ru/art/9877
Казинская Кристина,32,214,https://ruskino.ru/art/7952
Толкалина Любовь,44,211,https://ruskino.ru/art/135
Акиньшина Оксана,35,207,https://ruskino.ru/art/314
Демидова Алла,85,207,https://ruskino.ru/art/770
Пожарская Диана,30,205,https://ruskino.ru/art/39898
Старшенбаум Ирина,30,203,https://ruskino.ru/art/41949
Шпак Вера,33,203,https://ruskino.ru/art/29229
Устинова Светлана,40,200,https://ruskino.ru/art/2456
Колпакова Светлана,37,199,https://ruskino.ru/art/5661
Бабушкина Кристина,44,198,https://ruskino.ru/art/4011
Евстигнеева Софья,26,198,https://ruskino.ru/art/40371
Екамасова Дарья,37,198,https://ruskino.ru/art/3913
Майорова Елена,39,198,https://ruskino.ru/art/1193
Муцениеце Агата,33,198,https://ruskino.ru/art/9718
Суркова Наталья,55,198,https://ruskino.ru/art/1539
Давыдовская Виолетта,39,196,https://ruskino.ru/art/6343
Бабенкова Татьяна,30,195,https://ruskino.ru/art/46082
Лапиньш Линда,183,none,https://ruskino.ru/art/31485
Тюнина Анастасия,183,none,https://ruskino.ru/art/38726
Савельева Дарья,34,182,https://ruskino.ru/art/13796
Ауг Полина,26,179,https://ruskino.ru/art/27179
Галкина Юлия,37,145,https://ruskino.ru/art/6045
Лаврова-Глинка Ксения,44,144,https://ruskino.ru/art/1782
Якунина Анна,53,137,https://ruskino.ru/art/126
Орлова Татьяна,65,136,https://ruskino.ru/art/6249
Спивак Эмилия,40,136,https://ruskino.ru/art/1279
Каштанова Софья,34,134,https://ruskino.ru/art/5018
Тюнина Галина,54,127,https://ruskino.ru/art/213
Шубина Маргарита,56,125,https://ruskino.ru/art/235
Дыховичная Ольга,41,121,https://ruskino.ru/art/9794
Фрейндлих Алиса,87,100,https://ruskino.ru/art/181
Ксенофонтова Елена,49,91,https://ruskino.ru/art/282
Полякова Елена,42,88,https://ruskino.ru/art/2976
Антонова Светлана,42,65,https://ruskino.ru/art/2009
Уварова Нелли,42,60,https://ruskino.ru/art/182
Усатова Нина,70,57,https://ruskino.ru/art/89
Сидорова Ирина,52,none,https://ruskino.ru/art/5719
Тарханова Глафира,38,46,https://ruskino.ru/art/4421
Болгова Эльвира,46,43,https://ruskino.ru/art/1780
Бортич Александра,27,43,https://ruskino.ru/art/23461
Васильева Екатерина,76,42,https://ruskino.ru/art/884
Быстрицкая Элина,91,41,https://ruskino.ru/art/684
Андоленко Карина,34,40,https://ruskino.ru/art/8714
Васильева Вера,96,40,https://ruskino.ru/art/841
Васильева Татьяна,75,40,https://ruskino.ru/art/27
Панина Анастасия,39,40,https://ruskino.ru/art/5329
Фаттахова Олеся,33,39,https://ruskino.ru/art/10140
Банщикова Анна,47,38,https://ruskino.ru/art/276
Заворотнюк Анастасия,51,38,https://ruskino.ru/art/1424
Туркова Евгения,38,none,https://ruskino.ru/art/10113
Чурсина Людмила,80,37,https://ruskino.ru/art/732
Аниканова Мария,48,36,https://ruskino.ru/art/2791
Гундарева Наталья,56,36,https://ruskino.ru/art/199
Остроумова Ольга,74,36,https://ruskino.ru/art/340
Пегова Ирина,43,36,https://ruskino.ru/art/71
Польских Галина,82,35,https://ruskino.ru/art/806
Удовиченко Лариса,67,35,https://ruskino.ru/art/56
Урсуляк Александра,39,35,https://ruskino.ru/art/517
Юргенс Дарья,54,35,https://ruskino.ru/art/4159
Бурдужа Валерия,29,34,https://ruskino.ru/art/17279
